6289	Haemonchus contortus
546991	Blumeria graminis f. sp. hordei DH14
9606	Homo sapiens
5833	Plasmodium falciparum
6287	Dirofilaria immitis
32644	unidentified
10090	Mus musculus
31271	Plasmodium chabaudi chabaudi
5826	Plasmodium chabaudi adami
82286	Cardamine impatiens
352370	Cardamine resedifolia
7165	Anopheles gambiae
39947	Oryza sativa Japonica Group
857293	Caloramator australicus RC3
10116	Rattus norvegicus
946522	Herpes simplex virus (type 1 /strain RH2)
367110	Neurospora crassa OR74A
3702	Arabidopsis thaliana
7091	Bombyx mori
870726	food metagenome
34316	Eucalyptus camaldulensis
1392	Bacillus anthracis
71271	Eucalyptus globulus subsp. globulus
4529	Oryza rufipogon
50426	Pinctada fucata
180498	Jatropha curcas
1041809	Candidatus Arthromitus sp. SFB-mouse-Yit
1041504	Candidatus Arthromitus sp. SFB-rat-Yit
8090	Oryzias latipes
556182	freshwater sediment metagenome
449393	freshwater metagenome
496924	fish metagenome
187338	Hevea brasiliensis subsp. brasiliensis
8022	Oncorhynchus mykiss
910258	honeybee metagenome
90371	Salmonella enterica subsp. enterica serovar Typhimurium
1639	Listeria monocytogenes
294707	Idiosepius paradoxus
34573	Nautilus pompilius
6573	Mizuhopecten yessoensis
3617	Fagopyrum esculentum
86029	Bacillus subtilis subsp. natto
3498	Morus alba
7092	Bombyx mandarina
362708	Pandalus latirostris
996633	Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553
646099	human metagenome
1070528	viral metagenome
224308	Bacillus subtilis subsp. subtilis str. 168
70779	Acropora digitifera
75913	Strongyloides venezuelensis
527640	microbial mat metagenome
433727	hot springs metagenome
4550	Secale cereale
205922	Pseudomonas fluorescens Pf0-1
9913	Bos taurus
718308	biofilm metagenome
3668	Lagenaria siceraria
408170	human gut metagenome
410658	soil metagenome
5693	Trypanosoma cruzi
1112856	Mycoplasma pneumoniae 309
83333	Escherichia coli K-12
573	Klebsiella pneumoniae
31647	Hepatitis C virus subtype 1b
242507	Magnaporthe oryzae 70-15
38881	Botryococcus braunii
75743	Scyliorhinus torazame
7764	Eptatretus burgeri
7227	Drosophila melanogaster
412755	marine sediment metagenome
7719	Ciona intestinalis
415540	uncultured marine microorganism
172790	Solanum phureja
5855	Plasmodium vivax
913028	Yersinia enterocolitica W22703
4113	Solanum tuberosum
51655	Plutella xylostella
940668	Mycobacterium tuberculosis MR054150Z
940669	Mycobacterium tuberculosis MR071702G
940670	Mycobacterium tuberculosis MR075750X
7955	Danio rerio
6282	Onchocerca volvulus
144739	Danio nigrofasciatus
27835	Nippostrongylus brasiliensis
1496	Clostridium difficile
37190	Arctocephalus gazella
5691	Trypanosoma brucei
190802	Cleome gynandra
3055	Chlamydomonas reinhardtii
930408	Clostridium botulinum A5(B') str. H04402 065
647221	Plasmodium gaboni
67825	Citrobacter rodentium
4897	Schizosaccharomyces japonicus
9615	Canis lupus familiaris
9796	Equus caballus
9915	Bos indicus
910262	Pseudomonas aeruginosa PA14-RN3
910263	Pseudomonas aeruginosa PA14-RN6
910264	Pseudomonas aeruginosa PA14-RN43
910265	Pseudomonas aeruginosa C-NN2
910266	Pseudomonas aeruginosa C-NN11
910267	Pseudomonas aeruginosa C-NN80
27699	Danio albolineatus
112509	Hordeum vulgare subsp. vulgare
4565	Triticum aestivum
11837	Xenotropic murine leukemia virus
6183	Schistosoma mansoni
511145	Escherichia coli str. K-12 substr. MG1655
929557	Chlamydophila psittaci RD1
7173	Anopheles arabiensis
30066	Anopheles merus
5699	Trypanosoma vivax
9940	Ovis aries
5702	Trypanosoma brucei brucei
653948	Albugo laibachii
927703	Lactobacillus reuteri ATCC 53608
83334	Escherichia coli O157:H7
36329	Plasmodium falciparum 3D7
